  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      396        0.623        5.107            6      603.375      737.062      610.801
      397        0.655        5.145            3      606.374      751.209      598.082
      398        0.752        5.153            3      600.060      703.791      608.739
      399        0.756        5.164            4      599.239      726.155      617.438
      400        0.694        5.194            4      611.058      746.408      609.197
      401        0.782        5.151            4      600.313      723.425      610.438
      402        0.651        5.211            4      619.329      778.158      629.795
      403        0.833        5.176            4      605.187      751.866      610.960
      404        0.671        5.131            4      600.125      737.323      614.591
      405        0.838        5.205            4      610.686      731.331      622.129
      406        0.924        5.153            4      608.151      709.532      624.361
      407        0.653        5.132            4      601.095      717.397      618.023
      408        0.782        5.084            4      587.308      712.471      596.386
      409        0.968        5.174            4      608.546      724.660      622.089
      410        0.738        5.144            3      606.388      731.666      619.255
      411        0.701        5.175            3      608.900      746.079      613.431
      412        1.017        5.117            3      601.919      747.229      614.777
      413        0.995        5.113            5      600.523      727.917      579.221
      414        0.910        5.122            5      597.581      734.017      607.394
      415        0.709        5.149            5      609.734      737.528      600.705
      416        0.750        5.075            3      581.391      689.017      589.426
      417        0.682        5.136            5      600.273      729.400      599.656
      418        0.655        5.168            5      609.572      751.330      609.266
      419        0.719        5.113            3      599.808      736.165      613.258
      420        0.684        5.162            4      605.861      756.754      610.309
      421        0.678        5.196            3      615.193      764.303      627.855
      422        0.746        5.122            4      598.432      722.179      589.424
      423        0.830        5.135            4      600.942      723.120      621.171
      424        0.843        5.140            2      598.063      716.152      621.453
      425        0.651        5.176            2      617.527      750.439      631.714
      426        0.745        5.165            4      608.742      736.028      619.060
      427        0.755        5.125            5      591.446      705.468      600.663
      428        0.929        5.170            4      605.622      719.772      607.503
      429        0.878        5.125            3      608.305      708.842      602.885
      430        0.801        5.171            5      611.980      749.180      608.200
      431        0.763        5.202            4      618.565      758.674      621.762
      432        0.945        5.100            4      605.545      728.409      591.876
      433        0.732        5.124            4      596.608      726.996      600.068
      434        0.674        5.144            4      608.308      738.511      622.665
      435        0.887        5.164            3      603.511      725.962      606.297
      436        0.771        5.175            4      609.394      748.520      626.989
      437        0.735        5.130            4      603.625      723.673      616.624
      438        0.670        5.112            4      596.769      684.987      610.550
      439        0.612        5.222            2      610.473      714.486      617.011
      440        0.713        5.147            3      596.847      740.694      614.554
      441        0.813        5.097            4      589.111      924.693      585.682
      442        0.556        5.159            4      607.283      764.099      624.444
      443        0.667        5.107            3      594.916      708.860      592.810
      444        0.732        5.175            1      612.734      757.814      630.573
      445        0.688        5.164            5      606.268      749.431      610.742
      446        0.713        5.083            3      592.626      739.376      600.834
      447        0.739        5.168            1      607.433      946.197      610.936
      448        0.756        5.152            4      602.975      732.102      618.309
      449        0.828        5.131            2      596.488      736.614      594.830
      450        0.752        5.151            4      607.357      721.321      611.807
      451        0.672        5.123            4      602.031      936.070      595.618
      452        0.860        5.102            3      596.443      930.599      575.075
      453        0.621        5.133            2      600.306      942.012      590.281
      454        0.827        5.200            4      613.132      949.704      617.973
      455        0.912        5.127            4      592.540      706.626      593.316
      456        0.763        5.161            4      603.969      937.164      608.618
      457        0.753        5.177            5      609.143      944.225      615.612
      458        0.792        5.207            4      606.199      947.376      616.164
      459        0.868        5.104            5      592.362      706.520      585.128
      460        0.832        5.166            4      607.848      943.694      605.343
      461        0.749        5.151            2      602.497      939.448      605.818
      462        0.599        5.208            2      610.931      950.263      614.522
      463        0.752        5.152            4      601.717      740.295      628.230
      464        0.742        5.171            5      610.806      749.770      617.794
      465        0.740        5.104            3      596.083      928.886      583.837
      466        0.723        5.089            4      593.578      730.812      597.960
      467        0.778        5.097            3      600.243      728.884      598.004
      468        0.803        5.131            4      607.781      738.158      620.602
      469        1.140        5.082            3      600.144      724.861      600.915
      470        0.713        5.086            6      597.576      726.712      602.128
      471        0.750        5.160            5      601.190      943.487      622.301
      472        0.626        5.138            4      604.973      939.303      615.356
      473        0.669        5.195            3      605.912      740.196      604.314
      474        0.766        5.119            4      591.939      925.052      597.637
      475        0.812        5.183            5      608.683      944.133      608.498
      476        0.899        5.166            4      603.085      942.192      610.592
      477        0.726        5.215            3      616.373      961.291      641.182
      478        0.681        5.132            2      603.939      940.706      602.940
      479        0.897        5.156            4      610.505      948.462      607.904
      480        0.907        5.106            5      591.426      918.904      595.919
      481        0.646        5.124            4      604.648      943.480      618.339
      482        0.767        5.124            4      602.323      940.427      606.663
      483        0.663        5.177            2      608.868      947.404      621.608
      484        1.174        5.147            2      608.312      945.276      609.243
      485        1.300        5.137            2      596.097      934.389      599.384
      486        0.998        5.159            4      606.692      944.709      609.135
      487        0.862        5.153            4      606.253      947.209      605.512
      488        0.804        5.141            3      608.898      954.061      619.307
      489        0.864        5.076            5      588.844      774.786      590.344
      490        0.895        5.108            4      597.447      776.759      586.693
      491        1.146        5.072            5      589.801      774.510      594.653
      492        0.794        5.137            4      604.006      758.741      605.746
      493        0.825        5.144            2      597.353      740.332      604.887
      494        0.743        5.111            3      605.620      733.721      615.604
      495        0.825        5.098            5      599.390      747.376      591.507
      496        0.676        5.066            4      590.885      741.634      595.878
      497        0.829        5.154            5      609.480      778.152      607.992
      498        0.735        5.174            6      604.974      711.704      588.171
      499        0.788        5.086            5      600.036      738.589      590.944
      500        0.884        5.073            5      596.158      932.720      598.823
      501        0.684        5.149            6      607.375      950.605      611.944
      502        0.975        5.107            3      600.586      756.041      601.168
      503        0.687        5.160            4      607.330      942.881      605.488
      504        0.596        5.194            4      612.683      949.452      614.025
      505        0.662        5.142            4      602.414      939.551      631.390
      506        0.793        5.089            5      596.497      927.815      594.675
      507        0.703        5.136            4      599.699      936.661      596.986
      508        0.667        5.156            4      607.695      944.302      617.002
      509        0.626        5.122            4      597.659      938.197      620.602
      510        0.635        5.184            4      617.692      774.871      626.019
