  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      368        0.972        5.495            2      649.469      506.323      694.792
      369        0.944        5.401            3      631.237      486.001      654.433
      370        0.951        5.445            2      638.170      483.620      629.579
      371        1.031        5.409            2      637.445      483.579      665.527
      372        0.977        5.461            2      636.606      479.379      683.697
      373        1.008        5.471            2      649.820      501.786      688.288
      374        0.977        5.417            1      643.721      498.044      677.701
      375        1.031        5.415            1      639.957      487.814      666.407
      376        1.082        5.463            2      648.256      489.418      691.819
      377        1.093        5.420            0      638.579      494.698      697.710
      378        1.117        5.397            3      636.211      491.071      675.196
      379        1.073        5.431            0      641.170      497.911      705.142
      380        1.024        5.422            2      645.130      486.123      683.589
      381        1.040        5.408            0      639.669      482.270      664.687
      382        0.884        5.444            3      640.904      497.308      664.894
      383        1.141        5.459            2      641.727      506.163      665.056
      384        1.093        5.426            2      645.581      521.937      667.799
      385        1.011        5.357            4      628.604      500.778      665.581
      386        1.112        5.392            1      639.046      489.479      665.851
      387        1.043        5.431            2      643.588      514.069      661.435
      388        1.084        5.497            5      655.388      497.539      679.895
      389        1.074        5.435            2      648.590      479.938      682.263
      390        1.070        5.377            1      631.766      490.270      667.803
      391        1.116        5.371            3      636.860      497.962      658.887
      392        1.034        5.443            0      641.978      504.570      686.069
      393        1.034        5.400            3      634.093      478.056      658.049
      394        1.014        5.412            2      634.733      486.633      661.606
      395        1.067        5.426            3      642.890      506.450      671.310
      396        1.117        5.409            2      643.878      502.682      650.622
      397        1.003        5.456            2      641.393      509.956      675.876
      398        1.034        5.392            2      641.279      479.677      655.273
      399        1.038        5.451            2      640.478      497.658      656.157
      400        1.136        5.412            2      637.322      496.062      663.639
      401        1.058        5.468            3      643.498      509.114      662.747
      402        1.019        5.434            2      633.050      489.527      666.037
      403        1.111        5.453            3      645.480      500.250      671.933
      404        1.119        5.416            2      637.455      499.919      660.777
      405        1.201        5.434            1      637.596      516.017      650.309
      406        1.173        5.451            2      647.291      538.508      675.494
      407        1.115        5.419            2      638.328      516.903      657.599
      408        1.111        5.428            2      646.467      511.681      672.841
      409        1.230        5.391            1      634.916      531.663      680.351
      410        1.150        5.383            1      634.619      498.434      678.274
      411        1.125        5.406            2      644.678      509.321      678.311
      412        1.181        5.437            4      649.700      526.279      681.282
      413        1.168        5.347            3      634.113      503.403      654.400
      414        1.128        5.417            2      640.810      523.880      674.008
      415        1.212        5.417            1      636.310      524.507      700.666
      416        1.010        5.493            3      643.577      494.025      679.356
      417        1.122        5.445            2      637.865      510.966      692.786
      418        1.069        5.455            2      642.033      502.100      680.642
      419        1.126        5.393            2      631.120      481.557      665.940
      420        1.158        5.466            2      644.002      491.539      688.812
      421        0.982        5.452            3      635.299      488.879      659.414
      422        1.121        5.447            1      644.212      520.426      684.069
      423        1.011        5.421            1      636.453      484.493      680.027
      424        1.107        5.485            1      643.192      507.755      692.616
      425        1.036        5.419            2      638.816      508.915      670.365
      426        1.098        5.425            1      638.024      495.187      675.147
      427        1.231        5.427            1      638.060      510.824      682.427
      428        1.105        5.412            2      635.746      517.932      658.065
      429        1.190        5.414            1      637.387      502.756      663.709
      430        1.070        5.381            2      633.209      503.186      665.661
      431        1.005        5.439            1      643.825      509.854      693.057
      432        0.974        5.429            1      636.733      499.038      674.339
      433        0.926        5.465            2      644.698      494.980      692.432
      434        1.125        5.396            1      634.417      495.046      681.734
      435        1.118        5.445            2      642.545      494.726      695.368
      436        1.102        5.432            2      638.516      501.335      664.256
      437        1.195        5.415            1      639.356      503.718      683.480
      438        1.196        5.420            3      640.145      507.860      648.153
      439        1.129        5.485            2      646.174      495.977      681.225
      440        1.245        5.404            1      641.498      475.977      683.885
      441        1.192        5.483            0      650.025      508.167      703.682
      442        1.037        5.403            1      632.521      510.623      653.097
      443        1.173        5.499            1      655.739      539.682      684.723
      444        1.170        5.410            1      640.940      526.375      673.871
      445        1.192        5.457            1      646.588      520.853      687.480
      446        1.148        5.413            2      640.002      522.093      663.327
      447        1.159        5.415            1      636.182      482.245      669.348
      448        1.111        5.482            2      650.762      516.226      689.355
      449        1.060        5.397            3      629.783      483.231      642.649
      450        1.105        5.437            2      644.473      515.064      649.177
      451        1.184        5.421            2      642.861      520.215      660.283
      452        1.178        5.422            2      643.600      508.839      679.250
      453        1.071        5.383            2      634.021      502.512      665.966
      454        1.067        5.461            1      648.117      542.396      678.112
      455        1.073        5.449            1      645.067      532.818      662.462
      456        1.057        5.442            2      645.755      524.466      660.454
      457        1.147        5.453            2      643.300      535.206      659.736
      458        0.981        5.485            1      641.635      519.548      670.308
      459        1.056        5.468            2      644.228      517.405      659.217
      460        1.154        5.421            1      645.381      507.065      671.445
