  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      357        1.028        5.825            0      527.313      187.765       71.002
      358        1.071        5.714            0      520.437      158.393       78.139
      359        1.124        5.837            0      526.639      159.549       71.216
      360        1.071        5.835            0      527.120      173.724       75.270
      361        1.036        5.817            0      522.754      141.988       68.392
      362        1.135        5.683            0      523.368      176.256       72.988
      363        0.999        5.772            0      523.239      166.692       73.321
      364        0.949        5.770            0      527.750      159.936       74.904
      365        1.193        5.808            0      528.510      154.188       73.723
      366        1.025        5.843            0      526.389      172.317       75.646
      367        0.955        5.860            0      528.537      173.859       76.399
      368        1.127        5.764            0      525.574      147.674       77.276
      369        1.008        5.824            0      527.896      144.591       76.466
      370        1.079        5.759            0      527.953      144.900       73.559
      371        1.023        5.787            0      524.495      199.196       71.906
      372        0.993        5.811            0      523.693      169.884       70.075
      373        1.008        5.927            0      531.273      157.644       74.118
      374        1.093        5.892            0      532.880      148.667       76.004
      375        1.282        5.751            0      531.568      128.784       81.182
      376        1.136        5.762            0      526.047      151.285       76.311
      377        1.083        5.702            0      524.731      153.113       78.108
      378        1.150        5.774            0      526.825      145.402       75.955
      379        1.130        5.840            0      530.751      160.312       77.234
      380        1.221        5.741            0      524.142      150.773       74.860
      381        1.249        5.596            0      522.182      168.596       70.798
      382        1.125        5.787            0      523.820      163.839       72.400
      383        1.060        5.830            0      528.432      183.422       73.960
      384        1.207        5.818            0      529.183      181.547       79.345
      385        1.221        5.742            0      524.713      171.251       77.195
      386        1.023        5.797            0      530.219      179.479       75.023
      387        1.107        5.717            0      523.928      155.772       77.609
      388        1.251        5.762            0      527.787      150.772       78.017
      389        1.120        5.764            0      525.409      148.823       81.089
      390        1.297        5.644            0      523.545      159.802       80.206
      391        1.087        5.775            0      527.015      157.430       75.776
      392        1.288        5.708            0      528.325      132.628       77.482
      393        1.188        5.777            0      531.692      185.179       78.503
      394        1.311        5.609            0      524.871      162.519       76.969
      395        1.083        5.792            0      530.484      154.696       74.948
      396        1.196        5.747            0      526.083      164.037       74.675
      397        1.336        5.704            0      526.299      166.170       79.238
      398        1.203        5.656            0      522.258      129.527       76.184
      399        1.129        5.793            0      524.651      144.309       73.065
      400        1.427        5.625            0      522.480      163.775       80.654
      401        1.264        5.651            0      524.443      139.379       80.664
      402        1.116        5.720            0      526.030      160.820       73.280
      403        1.267        5.585            0      520.898      181.926       81.374
      404        1.290        5.657            0      525.729      209.240       78.539
      405        1.290        5.769            0      526.865      145.916       77.702
      406        1.261        5.689            0      531.021      158.015       77.396
      407        1.232        5.740            0      525.490      165.910       75.495
      408        1.100        5.765            0      523.742      187.335       73.227
      409        1.223        5.670            0      525.098      170.681       80.210
      410        1.264        5.725            0      526.724      178.069       81.795
      411        1.202        5.693            0      519.035      159.894       80.297
      412        1.089        5.742            0      526.054      174.346       77.174
      413        1.131        5.847            0      535.065      187.848       75.161
      414        1.036        5.765            0      529.017      161.567       73.424
      415        1.010        5.860            0      531.161      200.946       75.008
      416        0.942        5.846            0      529.677      156.520       72.714
      417        1.144        5.765            0      524.963      134.481       76.573
      418        1.097        5.793            0      531.639      176.096       73.697
      419        1.266        5.689            0      523.574      192.690       77.323
      420        1.214        5.695            0      523.881      165.638       79.982
      421        1.275        5.596            0      515.719      170.635       75.404
      422        1.138        5.818            0      531.902      154.226       73.181
      423        1.221        5.730            0      529.358      144.871       81.527
      424        1.139        5.711            0      522.354      169.332       79.695
      425        1.109        5.758            0      525.247      179.045       75.408
      426        1.149        5.758            0      527.998      169.816       75.106
      427        1.201        5.740            0      522.547      186.956       79.577
      428        1.239        5.732            0      521.543      180.689       80.205
      429        1.332        5.663            0      523.325      164.100       84.348
      430        1.081        5.745            0      525.721      161.954       79.328
      431        1.097        5.809            0      528.951      180.268       76.918
      432        1.149        5.799            0      528.148      144.167       78.553
      433        0.888        5.898            0      531.791      185.541       71.980
      434        1.004        5.787            0      523.298      168.601       79.466
      435        1.091        5.810            0      527.276      159.406       78.141
      436        1.007        5.771            0      523.778      179.733       75.161
      437        0.923        5.870            0      530.047      218.795       73.900
      438        0.972        5.890            0      531.210      190.468       72.630
      439        1.089        5.829            0      528.734      187.035       80.377
      440        0.982        5.846            0      527.539      189.531       80.380
      441        1.002        5.860            0      532.810      159.035       75.521
      442        1.136        5.755            0      524.496      151.966       71.704
      443        1.048        5.719            0      518.777      164.569       69.615
      444        1.212        5.681            0      528.273      141.917       78.512
      445        0.956        5.789            0      525.956      156.224       70.568
      446        1.069        5.742            0      525.420      111.942       72.272
      447        1.132        5.733            0      523.355      134.646       78.737
      448        1.164        5.727            0      523.964      126.003       75.086
      449        1.060        5.833            0      529.144      130.817       76.337
      450        1.221        5.709            0      527.484      139.334       78.030
      451        1.038        5.763            0      524.907      170.318       77.897
      452        1.137        5.793            0      527.962      141.103       79.989
      453        1.074        5.839            0      528.477      161.791       77.168
      454        1.098        5.698            0      523.211      164.854       70.538
      455        1.079        5.759            0      526.477      151.177       76.952
      456        1.336        5.599            0      519.073      156.009       75.981
      457        1.347        5.620            0      522.573      150.120       77.399
      458        1.122        5.763            0      523.937      155.146       76.385
      459        1.287        5.699            0      525.311      134.848       81.743
      460        1.019        5.840            0      529.131      161.068       76.363
      461        1.252        5.691            0      524.366      155.714       80.963
      462        1.134        5.757            0      525.746      152.556       73.788
      463        1.083        5.778            0      528.763      142.633       73.193
      464        1.190        5.740            0      522.412      164.007       72.386
      465        1.207        5.694            0      523.780      177.736       79.861
      466        1.236        5.725            0      526.081      155.402       74.579
      467        1.083        5.767            0      526.085      144.633       75.785
      468        1.278        5.722            0      527.414      138.846       79.666
      469        1.498        5.629            0      521.130      161.743       75.273
      470        1.302        5.636            0      516.713      167.987       74.683
      471        1.140        5.803            0      525.391      171.665       79.477
      472        1.260        5.651            0      522.018      185.167       77.339
      473        1.320        5.757            0      525.597      154.779       79.799
      474        1.428        5.643            0      526.012      157.703       81.572
      475        1.425        5.618            0      522.339      166.712       78.155
      476        1.330        5.654            0      521.462      175.697       76.879
      477        1.168        5.703            0      524.919      153.965       73.804
      478        1.187        5.766            0      523.187      157.712       75.159
      479        1.514        5.587            0      520.813      204.640       80.986
      480        1.215        5.741            0      525.483      177.476       77.290
      481        1.416        5.643            0      524.080      145.105       79.095
      482        1.252        5.750            0      531.518      157.990       73.779
      483        1.231        5.758            0      523.760      143.204       78.560
      484        1.473        5.611            0      523.447      157.134       82.167
      485        1.353        5.710            0      525.024      135.260       81.344
      486        1.131        5.855            0      524.315      204.796       73.751
      487        1.164        5.791            0      528.907      177.388       76.003
      488        1.145        5.821            0      529.532      185.941       77.741
      489        1.160        5.811            0      529.133      180.451       82.465
      490        1.159        5.790            0      526.680      165.032       83.344
      491        1.089        5.809            0      529.034      184.743       74.413
      492        0.964        5.812            0      529.283      166.418       71.981
      493        1.062        5.750            0      520.935      171.809       73.964
      494        1.073        5.749            0      524.942      177.891       69.668
      495        1.073        5.761            0      527.217      200.469       78.613
      496        1.135        5.754            0      529.208      221.710       77.713
      497        1.016        5.873            0      521.604      170.140       73.475
      498        1.121        5.771            0      527.452      169.380       74.974
      499        0.987        5.845            0      527.328      211.109       69.921
      500        1.203        5.735            0      528.523      196.728       82.303
      501        1.087        5.763            0      526.741      196.281       77.553
      502        1.246        5.671            0      522.555      173.598       77.470
      503        1.247        5.784            0      525.510      173.629       79.244
      504        1.278        5.727            0      526.743      197.468       82.649
      505        1.120        5.817            0      529.938      191.252       77.051
      506        1.199        5.789            0      522.124      184.251       76.828
      507        1.314        5.680            0      524.890      159.127       78.158
      508        1.208        5.891            0      533.788      190.815       76.901
      509        1.268        5.787            0      527.352      167.115       78.751
      510        1.276        5.790            0      524.794      165.036       75.208
      511        1.309        5.753            0      528.989      150.063       77.481
      512        1.191        5.842            0      529.519      171.764       79.196
      513        1.414        5.663            0      522.257      139.308       78.502
      514        1.315        5.748            0      525.701      151.250       76.516
      515        1.354        5.667            0      522.382      188.490       78.463
      516        1.191        5.677            0      519.584      185.172       77.937
      517        1.092        5.831            0      523.885      161.830       73.842
      518        1.273        5.739            0      526.919      177.867       79.317
      519        1.247        5.788            0      527.743      173.106       80.384
      520        1.255        5.717            0      522.372      172.990       69.719
      521        1.062        5.751            0      523.414      186.753       73.396
      522        1.029        5.790            0      522.278      162.659       73.644
      523        1.231        5.736            0      523.165      161.075       79.601
      524        1.183        5.729            0      527.314      185.214       79.875
      525        1.100        5.764            0      525.881      198.227       72.959
      526        1.016        5.808            0      526.534      191.122       74.657
      527        1.207        5.702            0      527.126      177.124       80.121
      528        1.096        5.739            0      522.003      175.747       74.488
      529        1.157        5.851            0      532.437      195.323       79.871
