  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
       263      4.144           4.132           5.387           4.706
       264      4.187           4.160           5.422           4.734
       265      4.297           4.274           5.539           4.856
       266      4.285           4.267           5.545           4.856
       267      4.118           4.095           5.381           4.693
       268      4.172           4.161           5.405           4.735
       269      4.163           4.144           5.382           4.705
       270      4.230           4.208           5.467           4.773
       271      4.301           4.278           5.544           4.860
       272      4.202           4.181           5.457           4.750
       273      4.135           4.126           5.381           4.699
       274      4.290           4.270           5.487           4.813
       275      4.242           4.225           5.457           4.772
       276      4.337           4.320           5.522           4.868
       277      4.187           4.176           5.412           4.725
       278      4.206           4.190           5.432           4.749
       279      4.284           4.262           5.503           4.816
       280      4.250           4.232           5.439           4.777
       281      4.275           4.255           5.435           4.782
       282      4.112           4.101           5.311           4.643
       283      4.099           4.081           5.332           4.652
       284      4.017           3.995           5.215           4.544
       285      4.067           4.046           5.296           4.619
       286      4.307           4.286           5.490           4.822
       287      4.228           4.214           5.382           4.717
       288      4.158           4.136           5.338           4.669
       289      4.035           4.011           5.267           4.578
       290      4.222           4.196           5.411           4.734
       291      4.307           4.286           5.479           4.797
       292      4.102           4.077           5.375           4.645
       293      4.269           4.240           5.506           4.801
       294      4.230           4.206           5.453           4.755
       295      4.181           4.166           5.446           4.734
       296      4.095           4.077           5.330           4.627
       297      4.273           4.244           5.491           4.799
       298      4.215           4.186           5.478           4.767
       299      4.195           4.173           5.529           4.782
       300      4.263           4.242           5.516           4.802
       301      4.091           4.066           5.414           4.671
       302      4.223           4.193           5.470           4.757
       303      4.139           4.123           5.398           4.691
       304      4.096           4.065           5.386           4.650
       305      4.060           4.035           5.354           4.632
       306      4.053           4.026           5.388           4.637
       307      4.174           4.149           5.459           4.737
       308      4.302           4.264           5.591           4.856
       309      4.277           4.250           5.565           4.856
       310      4.201           4.173           5.453           4.765
       311      4.061           4.036           5.359           4.638
       312      4.110           4.094           5.358           4.675
       313      3.993           3.968           5.277           4.572
       314      4.096           4.072           5.388           4.678
       315      4.053           4.037           5.310           4.625
       316      4.031           4.009           5.312           4.613
       317      3.974           3.961           5.245           4.545
       318      4.069           4.053           5.301           4.603
       319      4.090           4.069           5.328           4.636
       320      4.040           4.019           5.280           4.587
       321      4.066           4.039           5.342           4.621
       322      4.241           4.218           5.463           4.761
       323      4.165           4.145           5.371           4.683
       324      4.190           4.171           5.448           4.739
       325      4.007           3.991           5.231           4.539
       326      4.027           4.012           5.245           4.557
       327      4.113           4.090           5.358           4.664
       328      4.201           4.183           5.446           4.750
       329      4.274           4.254           5.526           4.826
       330      4.155           4.137           5.405           4.709
       331      4.107           4.089           5.366           4.652
